Latency,Levels
232,Mon9pm
234,Mon9pm
236,Mon9pm
232,Mon9pm
236,Tues12pm
236,Tues12pm
240,Tues12pm
237,Tues12pm
232,Tues9pm
233,Tues9pm
236,Tues9pm
233,Tues9pm
236,Wed12pm
239,Wed12pm
252,Wed12pm
239,Wed12pm
230,Wed9pm
236,Wed9pm
233,Wed9pm
232,Wed9pm
